O,,,,Rand W,,,,Rand edge W,,
출발노드,가중치,도착노드,,출발노드,가중치,도착노드,,출발노드,가중치,도착노드
capitalization_ratio,0.750135601,debt_ratio2,,capitalization_ratio,-0.073191136,debt_ratio2,,debt_ratio,0.072198913,roe
roe,0.469313353,roa,,roe,-0.627849638,roa,,asset_liabilities,0.033860508,cash_debt
debt_ratio2,0.460893452,totaldebt_invcap,,debt_ratio2,0.90428251,totaldebt_invcap,,debt_ebitda,0.820436954,leverage_ratio
totaldebt_invcap,0.407395869,leverage_ratio,,totaldebt_invcap,0.897572458,leverage_ratio,,rect_turn,0.66803056,debt_ebitda
asset_liabilities,0.382376939,rect_turn,,asset_liabilities,0.707804501,rect_turn,,roe,-0.29214403,totaldebt_invcap
asset_turnover,0.364549249,roa,,asset_turnover,0.527489245,roa,,asset_turnover,0.148032665,asset_liabilities
longtermdebt_invcap,0.341171682,debt_ratio2,,longtermdebt_invcap,2.58241272,debt_ratio2,,asset_liabilities,-1.698612571,totaldebt_invcap
debt_ratio,-0.320222169,rect_turn,,debt_ratio,-0.232609749,rect_turn,,roe,-0.837092042,leverage_ratio
capitalization_ratio,-0.305888116,totaldebt_invcap,,capitalization_ratio,0.910164356,totaldebt_invcap,,rect_turn,-1.053445816,roa
asset_turnover,0.303432107,rect_turn,,asset_turnover,1.771342278,rect_turn,,capitalization_ratio,1.091985703,leverage_ratio
roa,0.302288473,rect_turn,,roa,-0.177194014,rect_turn,,asset_liabilities,1.460272431,debt_ebitda
leverage_ratio,-0.287468612,asset_liabilities,,leverage_ratio,2.031203747,asset_liabilities,,longtermdebt_invcap,1.449369788,capitalization_ratio
debt_ratio,0.285747141,totaldebt_invcap,,debt_ratio,-0.168328539,totaldebt_invcap,,longtermdebt_invcap,1.182449698,leverage_ratio
longtermdebt_invcap,0.267747343,capitalization_ratio,,longtermdebt_invcap,-0.334386319,capitalization_ratio,,asset_liabilities,-0.457313567,asset_turnover
debt_ebitda,0.265171707,debt_ratio2,,debt_ebitda,0.379154861,debt_ratio2,,roa,-0.453627646,totaldebt_invcap
leverage_ratio,0.243938103,asset_turnover,,leverage_ratio,0.690858305,asset_turnover,,debt_ratio,-0.201351911,cash_debt
leverage_ratio,-0.214527622,roa,,leverage_ratio,0.236903906,roa,,rect_turn,-0.67480433,cash_debt
capitalization_ratio,0.186913803,leverage_ratio,,capitalization_ratio,1.717271686,leverage_ratio,,asset_turnover,-0.446534485,roe
asset_liabilities,-0.182790443,debt_ratio,,asset_liabilities,-0.355905861,debt_ratio,,longtermdebt_invcap,-2.650031567,cash_debt
debt_ratio,0.172295868,capitalization_ratio,,debt_ratio,0.556021273,capitalization_ratio,,debt_ratio,0.241573036,capitalization_ratio
debt_ratio,-0.14249,debt_ratio2,,debt_ratio,0.07609877,debt_ratio2,,cash_debt,0.56103009,debt_ratio2
debt_ratio,0.133547395,leverage_ratio,,debt_ratio,0.122596852,leverage_ratio,,debt_ratio2,1.127249479,rect_turn
debt_ratio2,0.129679605,rect_turn,,debt_ratio2,-0.251248211,rect_turn,,rect_turn,-0.537254691,totaldebt_invcap
roe,0.120334439,debt_ratio,,roe,0.813622475,debt_ratio,,debt_ebitda,1.311097145,totaldebt_invcap
totaldebt_invcap,0.114825353,asset_turnover,,totaldebt_invcap,0.205505729,asset_turnover,,totaldebt_invcap,0.241339162,roe
roe,-0.106682926,leverage_ratio,,roe,1.218346,leverage_ratio,,longtermdebt_invcap,-0.614831328,rect_turn
capitalization_ratio,-0.10021767,roa,,capitalization_ratio,-0.057578817,roa,,asset_turnover,0.622076809,debt_ratio2
cash_debt,0.089707628,asset_liabilities,,cash_debt,-1.367866397,asset_liabilities,,totaldebt_invcap,0.751995921,longtermdebt_invcap
debt_ebitda,-0.087441415,roa,,debt_ebitda,2.148743629,roa,,capitalization_ratio,0.909137249,roe
roe,0.083395697,totaldebt_invcap,,roe,0.999403298,totaldebt_invcap,,debt_ratio2,0.713338256,roe
roe,-0.079956837,rect_turn,,roe,-0.703511477,rect_turn,,totaldebt_invcap,-0.061062071,asset_turnover
longtermdebt_invcap,0.079440467,debt_ratio,,longtermdebt_invcap,0.968241036,debt_ratio,,totaldebt_invcap,-1.135685205,debt_ratio
cash_debt,-0.070372984,debt_ratio2,,cash_debt,-0.437885106,debt_ratio2,,capitalization_ratio,-0.576121688,totaldebt_invcap
asset_turnover,-0.059856508,asset_liabilities,,asset_turnover,-0.344168931,asset_liabilities,,longtermdebt_invcap,1.590830922,asset_turnover
asset_liabilities,-0.056945678,longtermdebt_invcap,,asset_liabilities,1.027338743,longtermdebt_invcap,,debt_ratio2,-0.866765738,capitalization_ratio
