출발노드,가중치,도착노드
cash_debt,0.14803266525268555,leverage_ratio
debt_ratio2,-1.6986125707626343,debt_ratio
rect_turn,-0.8370920419692993,debt_ratio
rect_turn,-1.053445816040039,capitalization_ratio
longtermdebt_invcap,1.0919857025146484,debt_ratio
longtermdebt_invcap,1.4602724313735962,rect_turn
asset_liabilities,1.4493697881698608,roe
roe,1.1824496984481812,rect_turn
cash_debt,-0.45731356739997864,asset_liabilities
debt_ebitda,-0.45362764596939087,capitalization_ratio
capitalization_ratio,-0.20135191082954407,roe
asset_liabilities,-0.6748043298721313,totaldebt_invcap
roa,-0.44653448462486267,rect_turn
debt_ratio,-2.650031566619873,debt_ratio2
debt_ratio2,0.2415730357170105,leverage_ratio
debt_ratio2,0.5610300898551941,cash_debt
roa,1.1272494792938232,debt_ratio2
capitalization_ratio,-0.5372546911239624,rect_turn
asset_turnover,1.3110971450805664,leverage_ratio
roa,0.24133916199207306,cash_debt
debt_ebitda,-0.6148313283920288,debt_ratio
debt_ebitda,0.6220768094062805,debt_ratio2
totaldebt_invcap,0.7519959211349487,debt_ratio
debt_ratio2,0.9091372489929199,roa
capitalization_ratio,0.7133382558822632,totaldebt_invcap
roe,-0.06106207147240639,debt_ratio2
asset_liabilities,-1.1356852054595947,debt_ebitda
capitalization_ratio,-0.5761216878890991,cash_debt
asset_liabilities,1.59083092212677,rect_turn
longtermdebt_invcap,-0.8667657375335693,debt_ratio2
roe,-0.6699360013008118,longtermdebt_invcap
longtermdebt_invcap,1.2420836687088013,debt_ebitda
cash_debt,0.14105048775672913,capitalization_ratio
longtermdebt_invcap,-0.5512478351593018,asset_turnover
asset_turnover,0.4080300033092499,roe
longtermdebt_invcap,-0.17519675195217133,capitalization_ratio
debt_ratio,-1.4672077894210815,leverage_ratio
capitalization_ratio,1.1166234016418457,debt_ratio2
asset_liabilities,-0.5613226890563965,longtermdebt_invcap
debt_ratio,0.7831950187683105,capitalization_ratio
