출발노드,가중치,도착노드
debt_ratio,0.904282517727416,asset_liabilities
capitalization_ratio,-0.3559058681921361,debt_ratio2
leverage_ratio,1.7713423142790403,debt_ratio
totaldebt_invcap,0.0760987663264626,debt_ratio2
rect_turn,0.910164352070025,asset_turnover
asset_turnover,0.8136224630736699,roa
roe,-0.25124821302691985,roa
longtermdebt_invcap,0.5560212746964956,debt_ratio2
debt_ratio2,-0.34416892997418175,debt_ebitda
rect_turn,-0.3343863043497578,debt_ratio
debt_ratio,0.23690391245603026,debt_ratio2
asset_liabilities,-0.05757881759976877,cash_debt
leverage_ratio,-0.07319113979730141,asset_liabilities
debt_ratio,-1.367866364903815,cash_debt
rect_turn,1.2183459407665975,roa
roa,1.027338745655652,debt_ebitda
roa,1.7172716808426827,debt_ratio2
leverage_ratio,0.12259685201258395,roa
asset_liabilities,0.6908582931434032,debt_ratio2
leverage_ratio,0.7078045031823236,asset_turnover
