출발노드,가중치,도착노드
cash_debt,-2.650031489878331,longtermdebt_invcap
totaldebt_invcap,-1.698612539616043,asset_liabilities
asset_turnover,1.5908309584108586,longtermdebt_invcap
debt_ebitda,1.4602724010940769,asset_liabilities
capitalization_ratio,1.4493697895692235,longtermdebt_invcap
totaldebt_invcap,1.3110971014690957,debt_ebitda
leverage_ratio,1.1824496948505456,longtermdebt_invcap
debt_ratio,-1.135685220038429,totaldebt_invcap
rect_turn,1.1272494419061085,debt_ratio2
leverage_ratio,1.0919856455877708,capitalization_ratio
roa,-1.053445808112599,rect_turn
roe,0.9091372405461562,capitalization_ratio
capitalization_ratio,-0.8667657171690039,debt_ratio2
leverage_ratio,-0.8370920299685659,roe
leverage_ratio,0.8204369777582599,debt_ebitda
longtermdebt_invcap,0.7519959080042556,totaldebt_invcap
roe,0.7133382291481677,debt_ratio2
cash_debt,-0.6748043217126501,rect_turn
debt_ebitda,0.6680305425158953,rect_turn
debt_ratio2,0.6220767999350839,asset_turnover
rect_turn,-0.6148313393512009,longtermdebt_invcap
totaldebt_invcap,-0.5761217083486461,capitalization_ratio
debt_ratio2,0.5610300715170513,cash_debt
totaldebt_invcap,-0.5372546630481827,rect_turn
asset_turnover,-0.4573135692253448,asset_liabilities
