출발노드,가중치,도착노드
debt_ratio,-0.07319113979730141,asset_liabilities
asset_liabilities,-0.6278496600071222,debt_ratio
longtermdebt_invcap,0.904282517727416,capitalization_ratio
capitalization_ratio,0.897572472677862,longtermdebt_invcap
debt_ratio,0.7078045031823236,leverage_ratio
leverage_ratio,0.5274892449853387,debt_ratio
capitalization_ratio,2.582412772565693,debt_ratio2
debt_ratio2,-0.23260974799633594,capitalization_ratio
longtermdebt_invcap,0.910164352070025,debt_ratio2
debt_ratio2,1.7713423142790403,longtermdebt_invcap
totaldebt_invcap,-0.17719402024244296,debt_ratio2
debt_ratio2,2.031203850169695,totaldebt_invcap
asset_liabilities,-0.1683285375649945,leverage_ratio
leverage_ratio,-0.3343863043497578,asset_liabilities
totaldebt_invcap,0.3791548714175033,leverage_ratio
leverage_ratio,0.6908582931434032,totaldebt_invcap
rect_turn,0.23690391245603026,asset_liabilities
asset_liabilities,1.7172716808426827,rect_turn
roa,-0.3559058681921361,asset_turnover
asset_turnover,0.5560212746964956,roa
roe,0.0760987663264626,roa
roa,0.12259685201258395,roe
rect_turn,-0.25124821302691985,asset_turnover
asset_turnover,0.8136224630736699,rect_turn
rect_turn,0.20550573040263112,debt_ratio
debt_ratio,1.2183459407665975,rect_turn
totaldebt_invcap,-0.05757881759976877,debt_ratio
debt_ratio,-1.367866364903815,totaldebt_invcap
rect_turn,2.1487435261976042,roa
roa,0.9994032917843813,rect_turn
debt_ebitda,-0.7035114855498749,debt_ratio2
debt_ratio2,0.968241018748313,debt_ebitda
totaldebt_invcap,-0.43788511383459644,asset_liabilities
asset_liabilities,-0.34416892997418175,totaldebt_invcap
roa,1.027338745655652,asset_liabilities
asset_liabilities,1.9554640246212445,roa
debt_ebitda,-0.32749177732210544,capitalization_ratio
capitalization_ratio,-0.7509819144238997,debt_ebitda
roa,-0.6741083979318527,debt_ratio
debt_ratio,-1.8938908757911994,roa
